"","year","month","case","county","date"
"1",2020,2,46,"COOK",2020-02-01
"2",2020,3,4796,"COOK",2020-03-01
"3",2020,4,27629,"COOK",2020-04-01
"4",2020,5,20792,"COOK",2020-05-01
"5",2020,6,7261,"COOK",2020-06-01
"6",2020,7,9590,"COOK",2020-07-01
"7",2020,8,12284,"COOK",2020-08-01
"8",2020,9,12980,"COOK",2020-09-01
"9",2020,10,45307,"COOK",2020-10-01
"10",2020,11,68319,"COOK",2020-11-01
"11",2020,12,40566,"COOK",2020-12-01
"12",2021,1,21906,"COOK",2021-01-01
"13",2021,2,7671,"COOK",2021-02-01
"14",2021,3,13180,"COOK",2021-03-01
"15",2021,4,12400,"COOK",2021-04-01
"16",2021,5,4280,"COOK",2021-05-01
"17",2021,6,1073,"COOK",2021-06-01
"18",2021,7,5924,"COOK",2021-07-01
"19",2021,8,11902,"COOK",2021-08-01
"20",2021,9,8490,"COOK",2021-09-01
"21",2021,10,8013,"COOK",2021-10-01
"22",2021,11,18822,"COOK",2021-11-01
"23",2021,12,138500,"COOK",2021-12-01
"24",2022,1,46621,"COOK",2022-01-01
"25",2022,2,4546,"COOK",2022-02-01
"26",2022,3,5331,"COOK",2022-03-01
"27",2022,4,17234,"COOK",2022-04-01
"28",2022,5,26218,"COOK",2022-05-01
"29",2022,6,20518,"COOK",2022-06-01
"30",2022,7,22874,"COOK",2022-07-01
"31",2022,8,14656,"COOK",2022-08-01
"32",2022,9,7707,"COOK",2022-09-01
"33",2022,10,9425,"COOK",2022-10-01
"34",2022,11,11388,"COOK",2022-11-01
"35",2022,12,12231,"COOK",2022-12-01
"36",2023,1,6679,"COOK",2023-01-01
"37",2023,2,6079,"COOK",2023-02-01
"38",2023,3,4311,"COOK",2023-03-01
"39",2023,4,2708,"COOK",2023-04-01
"40",2023,5,844,"COOK",2023-05-01
"41",2020,1,23,"BRONX",2020-01-01
"42",2020,2,156,"BRONX",2020-02-01
"43",2020,3,8960,"BRONX",2020-03-01
"44",2020,4,17882,"BRONX",2020-04-01
"45",2020,5,3333,"BRONX",2020-05-01
"46",2020,6,1438,"BRONX",2020-06-01
"47",2020,7,1470,"BRONX",2020-07-01
"48",2020,8,1218,"BRONX",2020-08-01
"49",2020,9,1167,"BRONX",2020-09-01
"50",2020,10,2209,"BRONX",2020-10-01
"51",2020,11,7384,"BRONX",2020-11-01
"52",2020,12,13736,"BRONX",2020-12-01
"53",2021,1,20236,"BRONX",2021-01-01
"54",2021,2,13581,"BRONX",2021-02-01
"55",2021,3,12034,"BRONX",2021-03-01
"56",2021,4,5829,"BRONX",2021-04-01
"57",2021,5,1630,"BRONX",2021-05-01
"58",2021,6,773,"BRONX",2021-06-01
"59",2021,7,2114,"BRONX",2021-07-01
"60",2021,8,4805,"BRONX",2021-08-01
"61",2021,9,3371,"BRONX",2021-09-01
"62",2021,10,1835,"BRONX",2021-10-01
"63",2021,11,2489,"BRONX",2021-11-01
"64",2021,12,54238,"BRONX",2021-12-01
"65",2022,1,44815,"BRONX",2022-01-01
"66",2022,2,1536,"BRONX",2022-02-01
"67",2022,3,1182,"BRONX",2022-03-01
"68",2022,4,2969,"BRONX",2022-04-01
"69",2022,5,6977,"BRONX",2022-05-01
"70",2022,6,7255,"BRONX",2022-06-01
"71",2022,7,11519,"BRONX",2022-07-01
"72",2022,8,8122,"BRONX",2022-08-01
"73",2022,9,5126,"BRONX",2022-09-01
"74",2022,10,5509,"BRONX",2022-10-01
"75",2022,11,8193,"BRONX",2022-11-01
"76",2022,12,10791,"BRONX",2022-12-01
"77",2023,1,7515,"BRONX",2023-01-01
"78",2023,2,2492,"BRONX",2023-02-01
"79",2023,3,1144,"BRONX",2023-03-01
"80",2023,4,646,"BRONX",2023-04-01
"81",2023,5,491,"BRONX",2023-05-01
"82",2020,2,14,"SAN DIEGO",2020-02-01
"83",2020,3,801,"SAN DIEGO",2020-03-01
"84",2020,4,2300,"SAN DIEGO",2020-04-01
"85",2020,5,3072,"SAN DIEGO",2020-05-01
"86",2020,6,5723,"SAN DIEGO",2020-06-01
"87",2020,7,9214,"SAN DIEGO",2020-07-01
"88",2020,8,5568,"SAN DIEGO",2020-08-01
"89",2020,9,5323,"SAN DIEGO",2020-09-01
"90",2020,10,6465,"SAN DIEGO",2020-10-01
"91",2020,11,18960,"SAN DIEGO",2020-11-01
"92",2020,12,55017,"SAN DIEGO",2020-12-01
"93",2021,1,43217,"SAN DIEGO",2021-01-01
"94",2021,2,8058,"SAN DIEGO",2021-02-01
"95",2021,3,3557,"SAN DIEGO",2021-03-01
"96",2021,4,3295,"SAN DIEGO",2021-04-01
"97",2021,5,1776,"SAN DIEGO",2021-05-01
"98",2021,6,1376,"SAN DIEGO",2021-06-01
"99",2021,7,8621,"SAN DIEGO",2021-07-01
"100",2021,8,17726,"SAN DIEGO",2021-08-01
"101",2021,9,8357,"SAN DIEGO",2021-09-01
"102",2021,10,6059,"SAN DIEGO",2021-10-01
"103",2021,11,6638,"SAN DIEGO",2021-11-01
"104",2021,12,38909,"SAN DIEGO",2021-12-01
"105",2022,1,119246,"SAN DIEGO",2022-01-01
"106",2022,2,13660,"SAN DIEGO",2022-02-01
"107",2022,3,3463,"SAN DIEGO",2022-03-01
"108",2022,4,4894,"SAN DIEGO",2022-04-01
"109",2022,5,14997,"SAN DIEGO",2022-05-01
"110",2022,6,22180,"SAN DIEGO",2022-06-01
"111",2022,7,27421,"SAN DIEGO",2022-07-01
"112",2022,8,12984,"SAN DIEGO",2022-08-01
"113",2022,9,5726,"SAN DIEGO",2022-09-01
"114",2022,10,3527,"SAN DIEGO",2022-10-01
"115",2022,11,7369,"SAN DIEGO",2022-11-01
"116",2022,12,11839,"SAN DIEGO",2022-12-01
"117",2023,1,5810,"SAN DIEGO",2023-01-01
"118",2023,2,4294,"SAN DIEGO",2023-02-01
"119",2023,3,2845,"SAN DIEGO",2023-03-01
"120",2023,4,1752,"SAN DIEGO",2023-04-01
"121",2023,5,625,"SAN DIEGO",2023-05-01
"122",2020,1,49,"MIAMI-DADE",2020-01-01
"123",2020,2,55,"MIAMI-DADE",2020-02-01
"124",2020,3,3733,"MIAMI-DADE",2020-03-01
"125",2020,4,4903,"MIAMI-DADE",2020-04-01
"126",2020,5,4346,"MIAMI-DADE",2020-05-01
"127",2020,6,7423,"MIAMI-DADE",2020-06-01
